record,date,time,vibration_mm_sec
101,2025-06-02,00:40:00,1.68
102,2025-06-02,00:50:00,1.55
103,2025-06-02,01:00:00,1.55
104,2025-06-02,01:10:00,1.45
105,2025-06-02,01:20:00,1.32
106,2025-06-02,01:30:00,1.72
107,2025-06-02,01:40:00,1.72
108,2025-06-02,01:50:00,1.35
109,2025-06-02,02:00:00,1.65
110,2025-06-02,02:10:00,1.56
111,2025-06-02,02:20:00,1.5
112,2025-06-02,02:30:00,1.43
113,2025-06-02,02:40:00,1.28
114,2025-06-02,02:50:00,1.54
115,2025-06-02,03:00:00,1.36
116,2025-06-02,03:10:00,1.38
117,2025-06-02,03:20:00,1.12
118,2025-06-02,03:30:00,1.67
119,2025-06-02,03:40:00,1.18
120,2025-06-02,03:50:00,1.34
121,2025-06-02,04:00:00,1.7
122,2025-06-02,04:10:00,1.68
123,2025-06-02,04:20:00,1.57
124,2025-06-02,04:30:00,1.38
125,2025-06-02,04:40:00,1.48
126,2025-06-02,04:50:00,1.42
127,2025-06-02,05:00:00,1.76
128,2025-06-02,05:10:00,1.49
129,2025-06-02,05:20:00,1.36
130,2025-06-02,05:30:00,1.14
131,2025-06-02,05:40:00,1.59
132,2025-06-02,05:50:00,1.27
133,2025-06-02,06:00:00,1.42
134,2025-06-02,06:10:00,1.34
135,2025-06-02,06:20:00,1.72
136,2025-06-02,06:30:00,1.65
137,2025-06-02,06:40:00,1.79
138,2025-06-02,06:50:00,1.54
139,2025-06-02,07:00:00,1.62
140,2025-06-02,07:10:00,1.72
141,2025-06-02,07:20:00,1.13
142,2025-06-02,07:30:00,1.7
143,2025-06-02,07:40:00,1.37
144,2025-06-02,07:50:00,1.64
145,2025-06-02,08:00:00,1.23
146,2025-06-02,08:10:00,1.55
147,2025-06-02,08:20:00,1.43
148,2025-06-02,08:30:00,1.12
149,2025-06-02,08:40:00,1.74
150,2025-06-02,08:50:00,1.46
151,2025-06-02,09:00:00,1.71
152,2025-06-02,09:10:00,1.54
153,2025-06-02,09:20:00,1.72
154,2025-06-02,09:30:00,1.37
155,2025-06-02,09:40:00,1.4
156,2025-06-02,09:50:00,1.42
157,2025-06-02,10:00:00,1.78
158,2025-06-02,10:10:00,1.41
159,2025-06-02,10:20:00,1.71
160,2025-06-02,10:30:00,1.24
161,2025-06-02,10:40:00,1.59
162,2025-06-02,10:50:00,1.62
163,2025-06-02,11:00:00,1.47
164,2025-06-02,11:10:00,1.14
165,2025-06-02,11:20:00,1.33
166,2025-06-02,11:30:00,1.17
167,2025-06-02,11:40:00,1.27
168,2025-06-02,11:50:00,1.71
169,2025-06-02,12:00:00,1.16
170,2025-06-02,12:10:00,1.12
171,2025-06-02,12:20:00,1.33
172,2025-06-02,12:30:00,1.56
173,2025-06-02,12:40:00,1.68
174,2025-06-02,12:50:00,1.17
175,2025-06-02,13:00:00,1.17
176,2025-06-02,13:10:00,1.59
177,2025-06-02,13:20:00,1.51
178,2025-06-02,13:30:00,1.25
179,2025-06-02,13:40:00,1.76
180,2025-06-02,13:50:00,1.67
181,2025-06-02,14:00:00,1.63
182,2025-06-02,14:10:00,1.16
183,2025-06-02,14:20:00,1.34
184,2025-06-02,14:30:00,1.72
185,2025-06-02,14:40:00,1.7
186,2025-06-02,14:50:00,1.6
187,2025-06-02,15:00:00,1.64
188,2025-06-02,15:10:00,1.53
189,2025-06-02,15:20:00,1.23
190,2025-06-02,15:30:00,1.56
191,2025-06-02,15:40:00,1.32
192,2025-06-02,15:50:00,1.79
193,2025-06-02,16:00:00,1.45
194,2025-06-02,16:10:00,1.13
195,2025-06-02,16:20:00,1.62
196,2025-06-02,16:30:00,1.66
197,2025-06-02,16:40:00,1.35
198,2025-06-02,16:50:00,1.35
199,2025-06-02,17:00:00,1.77
200,2025-06-02,17:10:00,1.38
201,2025-06-02,17:20:00,1.29
202,2025-06-02,17:30:00,1.74
203,2025-06-02,17:40:00,1.23
204,2025-06-02,17:50:00,1.68
205,2025-06-02,18:00:00,1.8
206,2025-06-02,18:10:00,1.29
207,2025-06-02,18:20:00,1.24
208,2025-06-02,18:30:00,1.26
209,2025-06-02,18:40:00,1.67
210,2025-06-02,18:50:00,1.74
211,2025-06-02,19:00:00,1.31
212,2025-06-02,19:10:00,1.5
213,2025-06-02,19:20:00,1.18
214,2025-06-02,19:30:00,1.66
215,2025-06-02,19:40:00,1.4
216,2025-06-02,19:50:00,1.72
217,2025-06-02,20:00:00,1.48
218,2025-06-02,20:10:00,1.26
219,2025-06-02,20:20:00,1.55
220,2025-06-02,20:30:00,1.44
221,2025-06-02,20:40:00,1.27
222,2025-06-02,20:50:00,1.42
223,2025-06-02,21:00:00,1.47
224,2025-06-02,21:10:00,1.15
225,2025-06-02,21:20:00,1.69
226,2025-06-02,21:30:00,1.58
227,2025-06-02,21:40:00,1.37
228,2025-06-02,21:50:00,1.67
229,2025-06-02,22:00:00,1.68
230,2025-06-02,22:10:00,1.78
231,2025-06-02,22:20:00,1.3
232,2025-06-02,22:30:00,1.44
233,2025-06-02,22:40:00,1.44
234,2025-06-02,22:50:00,1.51
235,2025-06-02,23:00:00,1.5
236,2025-06-02,23:10:00,1.58
237,2025-06-02,23:20:00,1.46
238,2025-06-02,23:30:00,1.4
239,2025-06-02,23:40:00,1.51
240,2025-06-02,23:50:00,1.45
241,2025-06-03,00:00:00,1.58
242,2025-06-03,00:10:00,1.19
243,2025-06-03,00:20:00,1.47
244,2025-06-03,00:30:00,1.49
245,2025-06-03,00:40:00,1.68
246,2025-06-03,00:50:00,1.27
247,2025-06-03,01:00:00,1.3
248,2025-06-03,01:10:00,1.17
249,2025-06-03,01:20:00,1.35
250,2025-06-03,01:30:00,1.28
251,2025-06-03,01:40:00,1.23
252,2025-06-03,01:50:00,1.13
253,2025-06-03,02:00:00,1.52
254,2025-06-03,02:10:00,1.57
255,2025-06-03,02:20:00,1.37
256,2025-06-03,02:30:00,1.41
257,2025-06-03,02:40:00,1.16
258,2025-06-03,02:50:00,1.56
259,2025-06-03,03:00:00,1.17
260,2025-06-03,03:10:00,1.25
261,2025-06-03,03:20:00,1.39
262,2025-06-03,03:30:00,1.42
263,2025-06-03,03:40:00,1.62
264,2025-06-03,03:50:00,1.27
265,2025-06-03,04:00:00,1.22
266,2025-06-03,04:10:00,1.59
267,2025-06-03,04:20:00,1.13
268,2025-06-03,04:30:00,1.13
269,2025-06-03,04:40:00,1.55
270,2025-06-03,04:50:00,1.51
271,2025-06-03,05:00:00,1.73
272,2025-06-03,05:10:00,1.4
273,2025-06-03,05:20:00,1.12
274,2025-06-03,05:30:00,1.25
275,2025-06-03,05:40:00,1.46
276,2025-06-03,05:50:00,1.67
277,2025-06-03,06:00:00,1.65
278,2025-06-03,06:10:00,1.26
279,2025-06-03,06:20:00,1.41
280,2025-06-03,06:30:00,1.33
281,2025-06-03,06:40:00,1.21
282,2025-06-03,06:50:00,1.74
283,2025-06-03,07:00:00,1.13
284,2025-06-03,07:10:00,1.72
285,2025-06-03,07:20:00,1.79
286,2025-06-03,07:30:00,1.44
287,2025-06-03,07:40:00,1.79
288,2025-06-03,07:50:00,1.12
289,2025-06-03,08:00:00,1.37
290,2025-06-03,08:10:00,1.58
291,2025-06-03,08:20:00,1.4
292,2025-06-03,08:30:00,1.62
293,2025-06-03,08:40:00,1.38
294,2025-06-03,08:50:00,1.37
295,2025-06-03,09:00:00,1.37
296,2025-06-03,09:10:00,1.69
297,2025-06-03,09:20:00,1.15
298,2025-06-03,09:30:00,1.74
299,2025-06-03,09:40:00,1.42
300,2025-06-03,09:50:00,1.79
301,2025-06-03,10:00:00,1.54
302,2025-06-03,10:10:00,1.29
303,2025-06-03,10:20:00,1.75
304,2025-06-03,10:30:00,1.32
305,2025-06-03,10:40:00,1.65
306,2025-06-03,10:50:00,1.19
307,2025-06-03,11:00:00,1.51
308,2025-06-03,11:10:00,1.2
309,2025-06-03,11:20:00,1.48
310,2025-06-03,11:30:00,1.76
311,2025-06-03,11:40:00,1.52
312,2025-06-03,11:50:00,1.19
313,2025-06-03,12:00:00,1.53
314,2025-06-03,12:10:00,1.45
315,2025-06-03,12:20:00,1.13
316,2025-06-03,12:30:00,1.66
317,2025-06-03,12:40:00,1.6
318,2025-06-03,12:50:00,1.34
319,2025-06-03,13:00:00,1.38
320,2025-06-03,13:10:00,1.79
321,2025-06-03,13:20:00,1.6
322,2025-06-03,13:30:00,1.43
323,2025-06-03,13:40:00,1.15
324,2025-06-03,13:50:00,1.22
325,2025-06-03,14:00:00,1.6
326,2025-06-03,14:10:00,1.77
327,2025-06-03,14:20:00,1.57
328,2025-06-03,14:30:00,1.14
329,2025-06-03,14:40:00,1.67
330,2025-06-03,14:50:00,1.71
331,2025-06-03,15:00:00,1.32
332,2025-06-03,15:10:00,1.53
333,2025-06-03,15:20:00,1.32
334,2025-06-03,15:30:00,1.26
335,2025-06-03,15:40:00,1.47
336,2025-06-03,15:50:00,1.19
337,2025-06-03,16:00:00,1.69
338,2025-06-03,16:10:00,1.77
339,2025-06-03,16:20:00,1.7
340,2025-06-03,16:30:00,1.73
341,2025-06-03,16:40:00,1.6
342,2025-06-03,16:50:00,1.15
343,2025-06-03,17:00:00,1.27
344,2025-06-03,17:10:00,1.42
345,2025-06-03,17:20:00,1.73
346,2025-06-03,17:30:00,1.22
347,2025-06-03,17:40:00,1.47
348,2025-06-03,17:50:00,1.2
349,2025-06-03,18:00:00,1.15
350,2025-06-03,18:10:00,1.46
351,2025-06-03,18:20:00,1.16
352,2025-06-03,18:30:00,1.62
353,2025-06-03,18:40:00,1.77
354,2025-06-03,18:50:00,1.73
355,2025-06-03,19:00:00,1.41
356,2025-06-03,19:10:00,1.62
357,2025-06-03,19:20:00,1.54
358,2025-06-03,19:30:00,1.6
359,2025-06-03,19:40:00,1.15
360,2025-06-03,19:50:00,1.63
361,2025-06-03,20:00:00,1.29
362,2025-06-03,20:10:00,1.13
363,2025-06-03,20:20:00,1.18
364,2025-06-03,20:30:00,1.34
365,2025-06-03,20:40:00,1.7
366,2025-06-03,20:50:00,1.42
367,2025-06-03,21:00:00,1.66
368,2025-06-03,21:10:00,1.41
369,2025-06-03,21:20:00,1.21
370,2025-06-03,21:30:00,1.36
371,2025-06-03,21:40:00,1.18
372,2025-06-03,21:50:00,1.3
373,2025-06-03,22:00:00,1.44
374,2025-06-03,22:10:00,1.6
375,2025-06-03,22:20:00,1.34
376,2025-06-03,22:30:00,1.73
377,2025-06-03,22:40:00,1.23
378,2025-06-03,22:50:00,1.61
379,2025-06-03,23:00:00,1.27
380,2025-06-03,23:10:00,1.37
381,2025-06-03,23:20:00,1.23
382,2025-06-03,23:30:00,1.78
383,2025-06-03,23:40:00,1.35
384,2025-06-03,23:50:00,1.57
385,2025-06-04,00:00:00,1.39
386,2025-06-04,00:10:00,1.48
387,2025-06-04,00:20:00,1.68
388,2025-06-04,00:30:00,1.29
389,2025-06-04,00:40:00,1.37
390,2025-06-04,00:50:00,1.52
391,2025-06-04,01:00:00,1.19
392,2025-06-04,01:10:00,1.64
393,2025-06-04,01:20:00,1.59
394,2025-06-04,01:30:00,1.38
395,2025-06-04,01:40:00,1.74
396,2025-06-04,01:50:00,1.25
397,2025-06-04,02:00:00,1.73
398,2025-06-04,02:10:00,1.23
399,2025-06-04,02:20:00,1.37
400,2025-06-04,02:30:00,1.78
401,2025-06-04,02:40:00,1.32
402,2025-06-04,02:50:00,1.71
403,2025-06-04,03:00:00,1.66
404,2025-06-04,03:10:00,1.22
405,2025-06-04,03:20:00,1.72
406,2025-06-04,03:30:00,1.17
407,2025-06-04,03:40:00,1.76
408,2025-06-04,03:50:00,1.56
409,2025-06-04,04:00:00,1.75
410,2025-06-04,04:10:00,1.53
411,2025-06-04,04:20:00,1.52
412,2025-06-04,04:30:00,1.21
413,2025-06-04,04:40:00,1.26
414,2025-06-04,04:50:00,1.67
415,2025-06-04,05:00:00,1.75
416,2025-06-04,05:10:00,1.77
417,2025-06-04,05:20:00,1.69
418,2025-06-04,05:30:00,1.78
419,2025-06-04,05:40:00,1.77
420,2025-06-04,05:50:00,1.66
421,2025-06-04,06:00:00,1.23
422,2025-06-04,06:10:00,1.41
423,2025-06-04,06:20:00,1.42
424,2025-06-04,06:30:00,1.68
425,2025-06-04,06:40:00,1.54
426,2025-06-04,06:50:00,1.16
427,2025-06-04,07:00:00,1.28
428,2025-06-04,07:10:00,1.16
429,2025-06-04,07:20:00,1.4
430,2025-06-04,07:30:00,1.58
431,2025-06-04,07:40:00,1.41
432,2025-06-04,07:50:00,1.19
433,2025-06-04,08:00:00,1.41
434,2025-06-04,08:10:00,1.74
435,2025-06-04,08:20:00,1.64
436,2025-06-04,08:30:00,1.7
437,2025-06-04,08:40:00,1.76
438,2025-06-04,08:50:00,1.75
439,2025-06-04,09:00:00,1.5
440,2025-06-04,09:10:00,1.28
441,2025-06-04,09:20:00,1.65
442,2025-06-04,09:30:00,1.2
443,2025-06-04,09:40:00,1.44
444,2025-06-04,09:50:00,1.52
445,2025-06-04,10:00:00,1.54
446,2025-06-04,10:10:00,1.52
447,2025-06-04,10:20:00,1.32
448,2025-06-04,10:30:00,1.53
449,2025-06-04,10:40:00,1.33
450,2025-06-04,10:50:00,1.37
451,2025-06-04,11:00:00,1.27
452,2025-06-04,11:10:00,1.75
453,2025-06-04,11:20:00,1.52
454,2025-06-04,11:30:00,1.66
455,2025-06-04,11:40:00,1.36
456,2025-06-04,11:50:00,1.72
457,2025-06-04,12:00:00,1.54
458,2025-06-04,12:10:00,1.29
459,2025-06-04,12:20:00,1.24
460,2025-06-04,12:30:00,1.61
461,2025-06-04,12:40:00,1.18
462,2025-06-04,12:50:00,1.36
463,2025-06-04,13:00:00,1.22
464,2025-06-04,13:10:00,1.59
465,2025-06-04,13:20:00,1.27
466,2025-06-04,13:30:00,1.78
467,2025-06-04,13:40:00,1.54
468,2025-06-04,13:50:00,1.12
469,2025-06-04,14:00:00,1.77
470,2025-06-04,14:10:00,1.72
471,2025-06-04,14:20:00,1.59
472,2025-06-04,14:30:00,1.58
473,2025-06-04,14:40:00,1.24
474,2025-06-04,14:50:00,1.66
475,2025-06-04,15:00:00,1.4
476,2025-06-04,15:10:00,1.45
477,2025-06-04,15:20:00,1.29
478,2025-06-04,15:30:00,1.2
479,2025-06-04,15:40:00,1.14
480,2025-06-04,15:50:00,1.37
481,2025-06-04,16:00:00,1.29
482,2025-06-04,16:10:00,1.43
483,2025-06-04,16:20:00,1.49
484,2025-06-04,16:30:00,1.75
485,2025-06-04,16:40:00,1.64
486,2025-06-04,16:50:00,1.55
487,2025-06-04,17:00:00,1.36
488,2025-06-04,17:10:00,1.58
489,2025-06-04,17:20:00,1.19
490,2025-06-04,17:30:00,1.51
491,2025-06-04,17:40:00,1.67
492,2025-06-04,17:50:00,1.7
493,2025-06-04,18:00:00,1.77
494,2025-06-04,18:10:00,1.31
495,2025-06-04,18:20:00,1.16
496,2025-06-04,18:30:00,1.42
497,2025-06-04,18:40:00,1.21
498,2025-06-04,18:50:00,1.64
499,2025-06-04,19:00:00,1.8
500,2025-06-04,19:10:00,1.13
