record,date,time,vibration_mm_sec
121,2025-06-01,11:00:00,1.58
122,2025-06-01,11:05:00,1.89
123,2025-06-01,11:10:00,1.91
124,2025-06-01,11:15:00,1.52
125,2025-06-01,11:20:00,1.76
126,2025-06-01,11:25:00,1.63
127,2025-06-01,11:30:00,1.7
128,2025-06-01,11:35:00,1.81
129,2025-06-01,11:40:00,1.97
130,2025-06-01,11:45:00,1.78
131,2025-06-01,11:50:00,1.71
132,2025-06-01,11:55:00,1.87
133,2025-06-01,12:00:00,1.77
134,2025-06-01,12:05:00,1.82
135,2025-06-01,12:10:00,1.85
136,2025-06-01,12:15:00,1.8
137,2025-06-01,12:20:00,1.52
138,2025-06-01,12:25:00,1.68
139,2025-06-01,12:30:00,1.98
140,2025-06-01,12:35:00,1.62
141,2025-06-01,12:40:00,1.83
142,2025-06-01,12:45:00,1.73
143,2025-06-01,12:50:00,1.74
144,2025-06-01,12:55:00,1.8
145,2025-06-01,13:00:00,1.66
146,2025-06-01,13:05:00,1.66
147,2025-06-01,13:10:00,1.73
148,2025-06-01,13:15:00,1.75
149,2025-06-01,13:20:00,1.85
150,2025-06-01,13:25:00,1.96
151,2025-06-01,13:30:00,1.75
152,2025-06-01,13:35:00,1.82
153,2025-06-01,13:40:00,1.67
154,2025-06-01,13:45:00,1.69
155,2025-06-01,13:50:00,1.75
156,2025-06-01,13:55:00,1.76
157,2025-06-01,14:00:00,1.67
158,2025-06-01,14:05:00,1.58
159,2025-06-01,14:10:00,1.86
160,2025-06-01,14:15:00,1.54
161,2025-06-01,14:20:00,1.67
162,2025-06-01,14:25:00,1.56
163,2025-06-01,14:30:00,1.72
164,2025-06-01,14:35:00,1.9
165,2025-06-01,14:40:00,1.82
166,2025-06-01,14:45:00,1.97
167,2025-06-01,14:50:00,1.71
168,2025-06-01,14:55:00,1.61
169,2025-06-01,15:00:00,1.68
170,2025-06-01,15:05:00,1.5
171,2025-06-01,15:10:00,1.59
172,2025-06-01,15:15:00,1.63
173,2025-06-01,15:20:00,1.62
174,2025-06-01,15:25:00,1.64
175,2025-06-01,15:30:00,1.88
176,2025-06-01,15:35:00,1.92
177,2025-06-01,15:40:00,1.83
178,2025-06-01,15:45:00,1.73
179,2025-06-01,15:50:00,1.51
180,2025-06-01,15:55:00,1.96
181,2025-06-01,16:00:00,1.77
182,2025-06-01,16:05:00,1.83
183,2025-06-01,16:10:00,1.73
184,2025-06-01,16:15:00,1.68
185,2025-06-01,16:20:00,1.5
186,2025-06-01,16:25:00,1.79
187,2025-06-01,16:30:00,1.53
188,2025-06-01,16:35:00,1.75
189,2025-06-01,16:40:00,1.62
190,2025-06-01,16:45:00,1.74
191,2025-06-01,16:50:00,1.77
192,2025-06-01,16:55:00,1.9
193,2025-06-01,17:00:00,1.83
194,2025-06-01,17:05:00,1.85
195,2025-06-01,17:10:00,1.81
196,2025-06-01,17:15:00,1.92
197,2025-06-01,17:20:00,1.96
198,2025-06-01,17:25:00,1.89
199,2025-06-01,17:30:00,1.68
200,2025-06-01,17:35:00,1.66
201,2025-06-01,17:40:00,1.58
202,2025-06-01,17:45:00,1.92
203,2025-06-01,17:50:00,1.67
204,2025-06-01,17:55:00,1.9
205,2025-06-01,18:00:00,1.89
206,2025-06-01,18:05:00,1.64
207,2025-06-01,18:10:00,1.89
208,2025-06-01,18:15:00,1.99
209,2025-06-01,18:20:00,1.85
210,2025-06-01,18:25:00,1.73
211,2025-06-01,18:30:00,1.88
212,2025-06-01,18:35:00,1.75
213,2025-06-01,18:40:00,1.54
214,2025-06-01,18:45:00,1.71
215,2025-06-01,18:50:00,1.73
216,2025-06-01,18:55:00,1.59
217,2025-06-01,19:00:00,1.86
218,2025-06-01,19:05:00,1.52
219,2025-06-01,19:10:00,1.92
220,2025-06-01,19:15:00,1.6
221,2025-06-01,19:20:00,1.81
222,2025-06-01,19:25:00,1.96
223,2025-06-01,19:30:00,1.92
224,2025-06-01,19:35:00,1.63
225,2025-06-01,19:40:00,1.57
226,2025-06-01,19:45:00,1.56
227,2025-06-01,19:50:00,1.56
228,2025-06-01,19:55:00,1.72
229,2025-06-01,20:00:00,1.96
230,2025-06-01,20:05:00,1.67
231,2025-06-01,20:10:00,1.71
232,2025-06-01,20:15:00,1.65
233,2025-06-01,20:20:00,1.8
234,2025-06-01,20:25:00,1.66
235,2025-06-01,20:30:00,1.73
236,2025-06-01,20:35:00,1.63
237,2025-06-01,20:40:00,1.72
238,2025-06-01,20:45:00,1.86
239,2025-06-01,20:50:00,1.88
240,2025-06-01,20:55:00,1.57
241,2025-06-01,21:00:00,1.98
242,2025-06-01,21:05:00,1.74
243,2025-06-01,21:10:00,1.9
244,2025-06-01,21:15:00,1.55
245,2025-06-01,21:20:00,1.68
246,2025-06-01,21:25:00,1.79
247,2025-06-01,21:30:00,1.67
248,2025-06-01,21:35:00,1.97
249,2025-06-01,21:40:00,1.87
250,2025-06-01,21:45:00,2.0
251,2025-06-01,21:50:00,1.82
252,2025-06-01,21:55:00,1.51
253,2025-06-01,22:00:00,1.61
254,2025-06-01,22:05:00,1.87
255,2025-06-01,22:10:00,1.76
256,2025-06-01,22:15:00,1.95
257,2025-06-01,22:20:00,1.71
258,2025-06-01,22:25:00,1.53
259,2025-06-01,22:30:00,1.84
260,2025-06-01,22:35:00,1.52
261,2025-06-01,22:40:00,1.64
262,2025-06-01,22:45:00,1.95
263,2025-06-01,22:50:00,1.73
264,2025-06-01,22:55:00,1.91
265,2025-06-01,23:00:00,1.78
266,2025-06-01,23:05:00,1.97
267,2025-06-01,23:10:00,1.99
268,2025-06-01,23:15:00,1.57
269,2025-06-01,23:20:00,1.69
270,2025-06-01,23:25:00,1.97
271,2025-06-01,23:30:00,1.96
272,2025-06-01,23:35:00,1.6
273,2025-06-01,23:40:00,1.73
274,2025-06-01,23:45:00,1.85
275,2025-06-01,23:50:00,1.75
276,2025-06-01,23:55:00,1.53
277,2025-06-02,00:00:00,1.9
278,2025-06-02,00:05:00,1.77
279,2025-06-02,00:10:00,1.86
280,2025-06-02,00:15:00,1.87
281,2025-06-02,00:20:00,1.92
282,2025-06-02,00:25:00,1.95
283,2025-06-02,00:30:00,1.53
284,2025-06-02,00:35:00,1.66
285,2025-06-02,00:40:00,1.78
286,2025-06-02,00:45:00,1.65
287,2025-06-02,00:50:00,1.61
288,2025-06-02,00:55:00,1.86
